description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.19004821098839642,25.95199386746105,925.3113862646159,2.6789196491241456,0.37783260345458985,-84.87237212387562,-25.810579160600554,-917.7950528279746,-24.650143767183213,-30.286664456545378,0.1728610191720126
KNeighborsRegressor,0.11680166841426742,25.529910714285712,1008.9902678571428,0.013076353073120116,0.03249199390411377,-90.23999999999998,-24.711007545086495,-931.8736439087228,-21.720000000000006,-30.487531070434322,0.16144674281078103
DecisionTreeRegressor,-0.3608990306844888,30.702008928571427,1554.728794642857,1.8633276224136353,0.007266807556152344,-113.8,-31.366579637467794,-1607.4067106413322,-25.1,-40.060358705659034,-0.45065930163525464
BaggingRegressor,0.2791577345735451,23.82236793154762,823.510195234995,10.855248212814331,0.010165953636169433,-79.19,-24.227458693718564,-861.7319949249837,-22.115000000000002,-29.324469765185476,0.22356929657889077
RandomForestRegressor,0.3269893397157061,23.428168154761902,768.8660430004962,105.85654644966125,0.018554306030273436,-76.65950000000001,-23.33677234574636,-767.3962974749963,-21.780250000000002,-27.67858997328899,0.30855935331256623
AdaBoostRegressor,0.22277845558096976,26.09958073174084,887.9194471299519,19.717696022987365,0.014280295372009278,-81.12721770245545,-25.243341735964684,-853.7823351435684,-25.348156346177,-29.202032526190255,0.23088130163493084
GradientBoostingRegressor,0.3831835935006177,21.823305974802167,704.6681690341022,53.91260144710541,0.0073904752731323246,-79.77000554990681,-22.063470965861242,-724.6317191798614,-19.3147024688472,-26.89697218541488,0.34686771823595597
NuSVR,0.16636356014552833,27.112297201347513,952.3693882369945,1.229254698753357,0.09453332424163818,-79.33344864570498,-26.829631226315012,-943.9631505800058,-27.329738887219456,-30.716940018233704,0.1493114756696794
LinearSVR,0.31439464822227525,23.29423104406246,783.2545678528003,0.04546363353729248,0.0066061258316040036,-86.55377278400395,-23.697011967573463,-795.7139381688783,-22.087900900603483,-28.189826925792254,0.2829169068913574
SGDRegressor,0.409290261835763,21.205727837241316,674.8431871084215,1.8093286752700806,0.006872487068176269,-81.66472095216986,-21.39623411410523,-678.4672062048572,-19.255197096246103,-26.02164267332151,0.3885425588128134
