description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.13417187483662063,27.257134871531612,989.1460623100645,2.4179357290267944,0.35035955905914307,-82.78736212320646,-27.168070767659533,-997.4525708418116,-26.683434534889653,-31.572913835764552,0.10128755976647796
KNeighborsRegressor,0.203802756075964,24.459151785714287,909.5978125,0.013202452659606933,0.0323014497756958,-89.75999999999999,-24.50293982333456,-918.5657226720648,-20.96,-30.277853015575083,0.17198159270928587
DecisionTreeRegressor,-0.4555210091139865,32.143973214285715,1662.8275669642858,1.7820700883865357,0.006687664985656738,-108.4,-30.767696448288554,-1558.1938420132497,-24.55,-39.426294272629846,-0.40670744527984937
BaggingRegressor,0.240279783994239,24.498671875000003,867.9254441840278,10.63463227748871,0.010006070137023926,-78.86999999999999,-24.388157308152376,-864.0565671854234,-22.133333333333333,-29.37768635288859,0.22160880193735838
RandomForestRegressor,0.3457005140115986,23.073678093112246,747.4898785654508,106.54540114402771,0.019448232650756837,-75.4915,-23.225449606150427,-760.6640948588815,-21.872950000000003,-27.563434278081576,0.31473330078376965
AdaBoostRegressor,0.22151388257882942,26.124325750556608,889.3641303981638,19.65187120437622,0.014335250854492188,-78.65539893886003,-25.594840117988216,-871.792868484011,-26.052130469253598,-29.514115229246677,0.21435621215654083
GradientBoostingRegressor,0.3498849965885674,22.21240688048802,742.709409620725,53.67064623832702,0.007540059089660644,-79.52259393100846,-22.63954680723989,-752.7340724030946,-20.482846831056314,-27.41113924543753,0.32169883219798856
NuSVR,0.12068162263805438,28.086898627693284,1004.5577005486163,0.7612549543380738,0.09695789813995362,-78.40497443403216,-27.77859325191028,-1000.5339372674573,-28.402122584504163,-31.623889804704106,0.09839422859579552
LinearSVR,0.36144528594484027,21.454716005795994,729.5026144571184,0.8715975046157837,0.0065544843673706055,-82.73396183193094,-21.7686195106803,-733.7228049446478,-18.645454837871586,-27.072008425926946,0.33823438163855873
SGDRegressor,0.26735893887345286,23.094850437019893,836.989466660308,0.9836971521377563,0.0065463542938232425,-4258.603296237588,-825.4459993396883,-6661553.878474402,-653.3490770366233,-1097.226123956891,-5816.251586713812
