description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.25397122765988034,24.795063037711827,852.2839592338206,0.4129382371902466,0.15359101295471192,-81.75237298944396,-24.74550689576644,-840.2326240007282,-24.0785721415581,-28.972486266541416,0.24267150896138207
KNeighborsRegressor,0.016337905186702528,26.247767857142858,1123.7628571428572,0.007984447479248046,0.019651103019714355,-93.58000000000001,-26.110845601766652,-1092.8709596981967,-21.220000000000002,-33.022851756808834,0.015635800988846316
DecisionTreeRegressor,-0.2808083910722059,29.234375,1463.2310267857142,0.8105801582336426,0.004674673080444336,-108.8,-29.355803735737947,-1430.1310153662128,-23.2,-37.78106167863011,-0.288100113952013
BaggingRegressor,0.30385403711745773,23.033389136904763,795.2964543030755,4.636125946044922,0.006653332710266113,-79.24000000000001,-22.511502917586803,-768.7640790388514,-19.810000000000002,-27.684183798139223,0.3075005238482682
RandomForestRegressor,0.38327508564412105,21.783143136160714,704.5636458720006,46.94067022800446,0.014615297317504883,-76.94466666666665,-22.01689854891088,-708.8527998687119,-19.785500000000003,-26.601156739040185,0.3612320499521543
AdaBoostRegressor,0.26852950831960365,25.01597115786925,835.6521756614715,7.579741382598877,0.009718680381774902,-79.69262575052288,-24.757590343562356,-832.863449802407,-24.69655188428478,-28.851207781368014,0.24903495807239104
GradientBoostingRegressor,0.4079568186694411,20.77522881389776,676.3665495621796,21.854920744895935,0.004836249351501465,-81.64153393598717,-20.901001852229676,-664.6331249176712,-18.224498729888836,-25.753223508634484,0.4008099571121283
NuSVR,0.2071318591097845,26.334526477645827,905.7945528677184,0.25933117866516114,0.0536043643951416,-78.52254749380704,-26.13471275952685,-896.4571137316685,-26.383117676110498,-29.93202736308732,0.19199070779221583
LinearSVR,0.2633249513910997,23.896714614787832,841.5980058352451,0.023168778419494628,0.0042305469512939455,-86.24437944764816,-23.69365904647503,-818.2513797769645,-21.996702021807863,-28.580703360908025,0.2622128473586335
SGDRegressor,0.29536394194579696,23.5682099611093,804.9957744840885,0.18939926624298095,0.004216957092285156,-83.61251009313847,-23.486150913597804,-799.4777002978442,-22.071139355990343,-28.255455721790344,0.2787987236382932
