description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.029157765575212435,28.91592120486724,1109.1170931001766,0.3743651628494263,0.10278496742248536,-86.08290913390184,-28.35169655171314,-1088.6179448669018,-28.13848311695022,-32.9851021172671,0.019097139830522247
KNeighborsRegressor,0.03563800844477749,26.042187500000004,1101.7138839285715,0.007438540458679199,0.01816449165344238,-93.34,-25.809360047846887,-1057.1708125690097,-21.759999999999998,-32.4774394057703,0.04805476640326186
DecisionTreeRegressor,-0.36227674560377854,30.567522321428573,1556.302734375,0.9225517272949219,0.0041074991226196286,-107.8,-29.22588332719912,-1438.275464666912,-23.3,-37.88389241247215,-0.2973789098450509
BaggingRegressor,0.3210990826522231,22.798953683035712,775.5952360250805,5.549028396606445,0.006539583206176758,-81.75,-23.194759868421052,-811.3380412200191,-19.85,-28.452808661641615,0.2682283982181909
RandomForestRegressor,0.35336684732249524,22.311542224702382,738.731646779669,59.47368767261505,0.01885819435119629,-76.92815,-22.2138390405647,-720.746233750391,-20.127683333333337,-26.817201789727072,0.3505417454763614
AdaBoostRegressor,0.2314885423369012,25.633376543266042,877.968802462013,9.982708168029784,0.010609912872314452,-80.01561138637933,-25.24512004939006,-851.9106570306012,-25.314999657792082,-29.173246895899535,0.2324841861313547
GradientBoostingRegressor,0.3812573246819624,21.473059176618797,706.8687919539965,26.754916644096376,0.005549407005310059,-80.67877728505941,-21.11891307340165,-681.7262184574536,-18.443937902423976,-26.082163063506933,0.38559586706833554
NuSVR,0.04413951786060333,29.321389935384683,1092.0015237984715,0.6700231313705445,0.0549962043762207,-81.03765623837546,-28.701643289949537,-1070.37728434577,-29.456340677129656,-32.71043341444435,0.035345943589101404
LinearSVR,-0.018019246850522475,29.587382905662146,1163.0134204615258,0.025400233268737794,0.004781484603881836,-87.79342286283192,-28.865224712345697,-1141.4523098804916,-28.24545169522137,-33.77561036913717,-0.028495204618252435
SGDRegressor,0.1481679735827971,27.349147893302945,973.1565309468151,1.9857165098190308,0.004675054550170898,-80.42295769015433,-27.478334879427763,-984.1698092680001,-27.925489748800015,-31.364332040915826,0.11275273519718683
