description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.22356394642235988,25.403701569859304,887.0220806086288,2.6314709186553955,0.36585254669189454,-80.88330195133463,-25.24664971635507,-873.1825046725244,-24.424233612041945,-29.53890158649806,0.21335188340572486
KNeighborsRegressor,0.25766639288688076,22.857589285714287,848.0625,0.015001249313354493,0.03459103107452392,-80.88000000000002,-22.886665439823332,-814.4312097902098,-19.75,-28.49900822826146,0.2658652694630316
DecisionTreeRegressor,-0.3535649762063189,30.416852678571427,1546.3501674107142,1.8112386226654054,0.007099509239196777,-107.6,-30.44950197828488,-1511.3030899199487,-24.35,-38.835826994360545,-0.36319863523412715
BaggingRegressor,0.2942757696975664,23.203556547619048,806.238932638889,10.487909030914306,0.010332989692687988,-77.32000000000001,-23.447016918936324,-794.8205513790806,-21.8,-28.155479732115488,0.28449434411878743
RandomForestRegressor,0.36041859902592344,22.395295014880954,730.6755300665302,104.1474898815155,0.0185699462890625,-74.916,-22.575975903811102,-721.6289238792936,-21.381416666666667,-26.84182884384213,0.3498242759029126
AdaBoostRegressor,0.29534356884839486,24.409356472104978,805.0190492755704,19.673585486412048,0.014330172538757324,-74.56949869942589,-24.001917386289907,-780.3025757049784,-23.796091532808973,-27.924061398193533,0.29675678431881525
GradientBoostingRegressor,0.39657778348690476,21.074798791833253,689.3662749309641,53.66831810474396,0.00743405818939209,-72.48971704815813,-21.00009054245349,-655.0307743859572,-18.83777791014018,-25.579490180348074,0.4092839058732968
NuSVR,0.1870675830091536,26.759828381662608,928.7165383302442,0.8319787740707397,0.09805727005004883,-77.71703118029463,-26.44266583766962,-916.4048619075198,-26.929792549275554,-30.263354809961328,0.17429738736718062
LinearSVR,0.3846319173266609,21.28468449320415,703.0135637286785,0.04268500804901123,0.006598520278930664,-80.69534323526052,-21.30509866418698,-677.1785103850987,-18.796736081292362,-26.004090589728662,0.3895712972016223
SGDRegressor,0.4092593063472044,20.434567925178815,674.8785515170435,3.913295292854309,0.0068271875381469725,-79.93175783298355,-19.945550081067765,-626.5713949645948,-16.829902334743927,-24.9922898079531,0.43425430993212144
