description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.25234624951372087,24.831053429671925,854.1403793337223,2.5228466510772707,0.3676537752151489,-79.68519715772928,-24.819949967830937,-846.8409078441322,-24.172360794238053,-29.09070232905096,0.23696052906413803
KNeighborsRegressor,0.25177242051144166,22.974776785714287,854.7959375,0.012266159057617188,0.03085901737213135,-82.78,-22.979942951785056,-827.1996045270519,-19.53,-28.740579239722983,0.25411437620439853
DecisionTreeRegressor,-0.2857694836365623,29.979352678571427,1468.898716517857,1.6732679605484009,0.006786608695983886,-107.8,-29.867978238866396,-1474.7925221981964,-23.3,-38.35931338564896,-0.33108479229735466
BaggingRegressor,0.310413161797348,23.229659598214283,787.8031283637154,10.148561716079712,0.010139679908752442,-76.32000000000001,-22.95064580266225,-782.8540130329868,-20.34,-27.95543641030029,0.29509838200075966
RandomForestRegressor,0.3910686993058564,21.74485621279762,695.660005483538,101.68071739673614,0.019528508186340332,-72.42836666666668,-22.281339451173828,-705.9455532511847,-20.427750000000003,-26.559562905602565,0.36373793026710316
AdaBoostRegressor,0.2950472719303373,24.56312059568393,805.3575470920002,19.673017930984496,0.014455103874206543,-75.23520652104428,-24.646254822991942,-816.3695545706008,-24.907493250410838,-28.554947916853543,0.2645001431030488
GradientBoostingRegressor,0.43400371536550975,20.334058675459794,646.6098524146346,52.12880463600159,0.007561516761779785,-75.41591387986702,-20.92224051289822,-665.422045206114,-18.40901554674167,-25.779114143809643,0.39974746896234037
NuSVR,0.2084296460530668,26.39425239868161,904.3119250720194,0.8209747791290283,0.0973771333694458,-76.88210137499897,-26.09352601162011,-894.5585415949138,-26.427852480066093,-29.90140399358294,0.19389663109114735
LinearSVR,0.3553410441380431,22.296719805714297,736.4762695869314,0.04270646572113037,0.006682777404785156,-80.89863148346129,-22.38298680792763,-720.4022008634089,-20.690388000769623,-26.82683095807828,0.35062611487452505
SGDRegressor,0.4338579603302124,20.13965071466237,646.7763670092015,4.291211009025574,0.006818175315856934,-80.43230960299508,-19.876720876782144,-611.3722854843587,-17.419398075556153,-24.70072594118312,0.44827048233416383
