description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.2457101443822366,24.978654149536656,861.7216498758922,2.370055055618286,0.3730297565460205,-79.44710240500098,-24.89769967199813,-851.7085029710906,-24.218334877439293,-29.174564393093284,0.2325653054172089
KNeighborsRegressor,0.24064194935792738,23.332589285714285,867.5116964285714,0.013440179824829101,0.03281538486480713,-86.9,-23.230639032020612,-848.9472242362901,-19.98,-29.108397603317297,0.23518042232856978
DecisionTreeRegressor,-0.31202251184154495,29.685825892857142,1498.890904017857,1.6594907522201539,0.0066939592361450195,-104.1,-29.535933474420318,-1462.688482241443,-23.25,-38.21844465287688,-0.32089396060037056
BaggingRegressor,0.32592170205109605,22.650316220238096,770.0857418774802,10.284740114212036,0.00995171070098877,-79.24000000000001,-22.731522328548646,-765.6431739539116,-20.330000000000002,-27.66199997873237,0.30921646374689316
RandomForestRegressor,0.38726259163090837,21.87020881164966,700.0082084466752,101.67318179607392,0.019151854515075683,-72.12565,-22.14698929524423,-701.4047288570758,-20.729333333333336,-26.46919484679566,0.3676621029246762
AdaBoostRegressor,0.30113682581593115,24.486731766002215,798.4006718507119,19.930511546134948,0.014478611946105956,-73.56879383322827,-24.040734247597847,-786.9960965266554,-23.98429944749351,-28.045310914298284,0.2899395201623338
GradientBoostingRegressor,0.4290160606561607,20.558024559809162,652.3078874778683,53.69030628204346,0.007462263107299805,-73.33859715664589,-20.734500196691567,-649.6237110453196,-18.14513512896199,-25.467342461873262,0.4140686296715154
NuSVR,0.206070213224962,26.428491323717367,907.0074065693022,1.2666510581970214,0.0879023790359497,-76.83748294411986,-26.175574777041938,-899.2631796253656,-26.52003717816811,-29.97983335049783,0.18967022334288264
LinearSVR,0.36746032222448877,22.083218373124193,722.6308701954686,0.045943808555603025,0.00664513111114502,-80.19591766058996,-22.057773539723335,-704.3007747528425,-20.07251485701837,-26.524785714705125,0.3651263993804557
SGDRegressor,0.43542554033673264,20.218024443124193,644.9855201358536,4.026497745513916,0.006712484359741211,-79.67936301288408,-19.8323635494509,-611.9887871328953,-17.234304199697963,-24.715499462618297,0.447868127522807
