description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.15599646167608328,26.23419703594855,964.2130490405717,0.2581336975097656,0.038415837287902835,-81.03248473640379,-26.026622561437158,-941.7769538007196,-24.85246236914454,-30.673349909403413,0.15147072014275884
KNeighborsRegressor,0.15502153671210306,24.802008928571432,965.326830357143,0.0023012638092041017,0.00828709602355957,-83.3,-24.36867224880383,-917.1123623481783,-20.909999999999997,-30.25536118390437,0.17384434539207833
DecisionTreeRegressor,-0.18758122382938858,28.08984375,1356.7257254464287,0.1943371295928955,0.002537655830383301,-108.8,-29.583654996319474,-1434.4682376012145,-24.05,-37.82769756860896,-0.291633079565537
BaggingRegressor,0.32242646091813787,22.630379464285713,774.0788022817461,1.2351332902908325,0.00420994758605957,-80.14,-22.501281583548028,-759.1026778878103,-19.895000000000003,-27.535888176230834,0.31589003806652605
RandomForestRegressor,0.39356970018829807,21.472902556335033,692.8027927148557,12.265497279167175,0.012734365463256837,-74.96383333333333,-21.73010305500421,-690.049950369136,-19.598000000000003,-26.24701210451901,0.3781565836744455
AdaBoostRegressor,0.24962300918858815,25.58728455739226,857.2514846051301,2.0090519428253173,0.006069540977478027,-72.0289756986571,-25.211146446409867,-844.0843606258084,-25.49176046266312,-29.036640343287235,0.23925247098140207
GradientBoostingRegressor,0.41498589406506436,20.88196542670561,668.3363388919622,6.1783766746521,0.0028795957565307616,-78.44513728302272,-20.72248736409238,-653.8764013855773,-18.137380619974493,-25.552307444930477,0.4106524300204259
NuSVR,0.14129315534685116,27.265648053180534,981.0105139597833,0.17251813411712646,0.020621180534362793,-77.92087872889763,-26.914213213032745,-956.7807414894378,-27.163646553239932,-30.919731744794127,0.13799925135816152
LinearSVR,0.2433381675534504,23.539997456905724,864.4314619874378,0.03106558322906494,0.0023830652236938475,-85.03190780412135,-23.499804223659822,-845.6789236109213,-20.32293932358268,-29.06380229882827,0.23745263392917787
SGDRegressor,0.2540340800673184,24.096086458516943,852.2121549004694,0.02186474800109863,0.002256965637207031,-79.56351681275035,-24.29329520080738,-856.8877236449305,-22.64876450183013,-29.242751056159243,0.2277877452171258
