description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.023989940306129443,29.001543604155547,1115.0209600075439,0.4278652906417847,0.15974276065826415,-85.99015784015853,-28.39930905457543,-1092.4271536760964,-28.238789761814633,-33.042723025655334,0.015670459873808395
KNeighborsRegressor,0.02721163925048853,26.214508928571426,1111.3404017857142,0.007764863967895508,0.019793701171875,-93.74,-25.71184256532941,-1041.4728390688258,-21.2,-32.23220736631894,0.06155892455082283
DecisionTreeRegressor,-0.36540267597995135,30.110491071428573,1559.8738839285713,0.9428070068359375,0.004641103744506836,-113.2,-29.755539197644463,-1488.8101076555024,-23.9,-38.53163364024691,-0.3428273825160706
BaggingRegressor,0.29888733114567045,22.859347098214283,800.9705569475445,5.4017514944076535,0.006612753868103028,-81.1,-22.985443089804928,-788.2675767414019,-20.1,-28.051998698350708,0.2890290991310864
RandomForestRegressor,0.3606351459038669,22.32792429315476,730.428140907645,53.91868941783905,0.01456756591796875,-76.617,-22.300418331613564,-725.745824032854,-19.605333333333334,-26.906181764375532,0.34622508027556903
AdaBoostRegressor,0.2235535188686637,25.99916025354067,887.03399333516,9.045411014556885,0.009685373306274414,-75.72349313402819,-25.027267421358523,-835.923597612246,-25.15930903253465,-28.899055875335854,0.24668087926126617
GradientBoostingRegressor,0.38231127799416553,21.525686957291224,705.664726460712,26.614002895355224,0.004784917831420899,-79.36541971534322,-21.443613256849346,-703.3893652521579,-18.570084325335763,-26.49193183868586,0.36607491486932997
NuSVR,0.04173795063897445,29.375934607920524,1094.7451407954347,0.26858043670654297,0.05250706672668457,-80.97809535158649,-28.7304369485938,-1072.6439086067046,-29.543691995529294,-32.74496324589906,0.0333164071684806
LinearSVR,0.021604571505579484,28.96249012323935,1117.7460714790336,0.01709127426147461,0.004168581962585449,-87.27967531155878,-28.375651304798577,-1101.399888618963,-27.864427490531064,-33.17764989383461,0.007639198371670708
SGDRegressor,0.16000067888076153,27.116476393680518,959.6385202564735,0.6930769443511963,0.004183721542358398,-80.70006843269678,-26.587964462324273,-934.0838603767321,-26.861172837842084,-30.546325291491645,0.15818064835222514
