description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.08879615994121748,27.92855651195494,1040.9845374171452,0.41043293476104736,0.1163935661315918,-85.78596628013777,-27.567040479778292,-1029.0674682814793,-27.275614904480328,-32.068471829285386,0.07282935055380599
KNeighborsRegressor,0.05607056845480485,25.823214285714283,1078.3711607142857,0.010399436950683594,0.021300435066223145,-95.22,-25.312622377622375,-1014.7866783216783,-21.17,-31.80703635445513,0.08600119198772825
DecisionTreeRegressor,-0.35830235190025017,30.400669642857142,1551.7622767857142,0.9710893154144287,0.004857349395751953,-105.7,-30.18211722488038,-1506.2580247055575,-23.9,-38.746100860099986,-0.36198669025907365
BaggingRegressor,0.2994479843501533,23.113046875000002,800.3300511780755,5.471124219894409,0.006857037544250488,-86.64750000000001,-23.18526595553569,-809.5097740392335,-20.26,-28.42509417340049,0.270307304379117
RandomForestRegressor,0.3529044664733486,22.428771019345238,739.259883485002,57.62805128097534,0.017503190040588378,-76.25333333333333,-22.62596383074163,-745.6262078527446,-20.196500000000004,-27.273712637648675,0.32852693960001755
AdaBoostRegressor,0.21115772999623073,26.292671038869976,901.195286317044,9.617778849601745,0.010169339179992676,-79.60537265050101,-25.696795975409792,-880.6968253222947,-25.998480252514526,-29.6631325067897,0.20649650592068972
GradientBoostingRegressor,0.3532416944828305,21.950309353488723,738.874624854582,26.895166444778443,0.005159735679626465,-80.70045596258782,-22.12863152971051,-743.8116488066618,-19.06860283947457,-27.217003422394544,0.3305475195935152
NuSVR,0.08793274284946673,28.542386112920674,1041.9709290480191,0.25183744430541993,0.0510286808013916,-81.10101314544512,-28.09820853563364,-1027.0937993381087,-28.753544570539837,-32.041042353791276,0.07439564790958669
LinearSVR,0.12383624585315334,27.190277100737976,1000.9537715001134,0.023186588287353517,0.0044565916061401365,-86.24576925208589,-26.869807267958606,-988.312108636678,-26.443367321476636,-31.423687749857777,0.10962985740079911
SGDRegressor,0.2257203209274523,25.517502887143802,884.5585785709981,0.44580538272857667,0.00446007251739502,-83.15750047384063,-25.325793928290565,-877.84437511386,-24.737250221676653,-29.60599387702958,0.20872328694275147
