description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.30725836573253096,23.47184982348386,791.4072548805298,0.17114639282226562,0.024986982345581055,-79.0504871733773,-23.616274562124627,-784.019851921359,-22.2412917925472,-27.98295677468395,0.2935653166757752
KNeighborsRegressor,0.17664962404681073,24.473660714285717,940.6183035714286,0.002352786064147949,0.01103804111480713,-90.52000000000001,-24.86211124401914,-959.4789465403019,-21.520000000000003,-30.94200769001406,0.135906588437015
DecisionTreeRegressor,-0.2773339410736564,29.190848214285715,1459.26171875,0.03684101104736328,0.002738761901855469,-109.6,-29.438286713286715,-1485.9695022083179,-22.45,-38.516440712721234,-0.34358282502702736
BaggingRegressor,0.2940178173183138,23.231409970238097,806.5336245907738,0.23701035976409912,0.005378103256225586,-84.75999999999999,-23.460647585418968,-835.0356968185204,-20.314999999999998,-28.881569359818958,0.24725240874523974
RandomForestRegressor,0.3790325443934831,21.88875257759354,709.4104426556748,2.2473767042160033,0.015903759002685546,-76.827,-22.12841083357432,-725.8019187738093,-19.589958333333335,-26.915023157278064,0.3455655061525743
AdaBoostRegressor,0.1580836305373029,27.51033392626791,961.8286094497904,0.3246901035308838,0.004853940010070801,-77.3742380463087,-26.453293663042672,-911.7283956349777,-26.74475763163283,-30.188521708853678,0.17785690067703303
GradientBoostingRegressor,0.3791964877631785,21.723391152993603,709.2231492034722,1.0061416625976562,0.002362632751464844,-83.99163530010401,-21.990341336882324,-724.1640732258036,-19.442376467176068,-26.898168520629724,0.34712168800616927
NuSVR,0.25671823878379285,25.29911440919413,849.145697542648,0.10901265144348145,0.013253188133239746,-77.47805318365405,-25.18368468657472,-845.1259023749735,-25.028626582588338,-29.06024420591813,0.23845101350724182
LinearSVR,-0.02185350539940978,29.577480437440595,1167.393783763763,0.0018271923065185547,0.0015389442443847657,-87.7607391052428,-28.841636818979744,-1142.9843303744642,-28.06237589370587,-33.79818685807509,-0.02986029228356768
SGDRegressor,0.16113603699090506,27.161664501280484,958.3414556644121,0.22310936450958252,0.0019333600997924806,-80.92041795475545,-26.972386015782824,-951.2964016504282,-27.291679794383988,-30.83595015878645,0.14243503728879178
