description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.027342133321159867,29.074057669246198,1111.1913217403703,1.818078637123108,0.3566554546356201,-85.51641202234,-28.419601914119134,-1090.4203130494884,-28.569132433105086,-33.01308132556371,0.017441802561634558
KNeighborsRegressor,0.22408373569465878,23.618973214285713,886.4282589285714,0.01574695110321045,0.03690428733825683,-91.06,-23.550956937799043,-862.1449749723961,-19.990000000000002,-29.328192015345234,0.2227727386946842
DecisionTreeRegressor,-0.3802678804760653,30.801897321428573,1576.8563058035713,2.2131218194961546,0.007918262481689453,-114.4,-31.739416175929335,-1639.2016953441296,-25.65,-40.44099841967092,-0.4772221813127663
BaggingRegressor,0.2329396271966503,24.56251860119048,876.3110428751114,13.265043449401855,0.011214828491210938,-80.99,-24.25169248405104,-857.4397536497821,-21.369999999999997,-29.266632865060508,0.2268512449684536
RandomForestRegressor,0.3202100753678033,23.171621465773807,776.6108626017556,132.94102594852447,0.018053627014160155,-77.869,-23.27670970597385,-765.7186586661583,-21.978,-27.65290741276512,0.3098596467303355
AdaBoostRegressor,0.23631705354677157,25.474096593215915,872.4525773461309,22.616782546043396,0.016530513763427734,-79.12631473993359,-24.62589393944618,-826.1186949160217,-24.55769601807625,-28.725581749092903,0.2559443409624132
GradientBoostingRegressor,0.3858704671440075,21.41933691356889,701.5986100684794,66.55189440250396,0.008564281463623046,-77.17734918501591,-21.625383334935158,-694.787813620321,-19.266134967189906,-26.33891193553354,0.3734605392297907
NuSVR,0.0387836447820219,29.453497934859193,1098.120221738564,1.0920559883117675,0.11368579864501953,-80.76870205680787,-28.744664628369538,-1073.567341753788,-29.615457199871933,-32.75889451862783,0.03252005258030157
LinearSVR,0.4169640698306598,20.063992110810037,666.0764160363415,0.5794292449951172,0.007808995246887207,-78.71255086950929,-20.17608329724051,-642.5855859890714,-17.180428516792805,-25.321962561829103,0.4206866442161837
SGDRegressor,0.3900037511331782,20.205307524796815,696.8766318103511,0.3416782855987549,0.0076956510543823246,-78.5828377641081,-20.77172351875232,-665.2365542521705,-17.68336237469513,-25.74469194675193,0.4000858761852239
