description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.08972466347525943,28.037679450658686,1039.923789229547,1.94682879447937,0.34353482723236084,-84.91187942384164,-27.523845005737353,-1025.3007755205979,-27.539100537820936,-32.01242130844257,0.07613744627237394
KNeighborsRegressor,0.21124242640942492,23.943080357142858,901.0985267857143,0.01562330722808838,0.036888623237609865,-87.12,-24.371548582995953,-917.0706963562752,-21.07,-30.25590988830814,0.17379450835498012
DecisionTreeRegressor,-0.2522708130790585,29.415178571428573,1430.62890625,2.212868666648865,0.00787200927734375,-102.15,-30.741875230033127,-1523.8639630106736,-25.7,-38.99965189605207,-0.3762265580710829
BaggingRegressor,0.27880878308261814,23.357610809948977,823.9088470957468,13.229906821250916,0.01119682788848877,-82.50999999999999,-24.31390973171565,-857.5736695009278,-22.059999999999995,-29.257558786633105,0.22634699185823734
RandomForestRegressor,0.32891976024256375,23.083517963435376,766.6606770540118,132.32137224674224,0.018100762367248537,-77.113,-23.37395654296362,-772.1583090703167,-22.073500000000003,-27.76268588160737,0.30402530762376156
AdaBoostRegressor,0.2472617283424916,25.477075831222834,859.9490773294182,22.615063381195068,0.01640198230743408,-77.47487451551503,-25.072879591974292,-848.4490104216551,-24.959853108638093,-29.121347228966982,0.23497070814935053
GradientBoostingRegressor,0.3700843025917798,21.931331602290737,719.6331622526883,66.73578493595123,0.008953237533569336,-80.10325959010994,-21.986327276043788,-714.7571124135837,-19.811923649485745,-26.69952235251978,0.3553042334018357
NuSVR,0.08160842445925565,28.716259778150963,1049.1960057701365,1.1735890865325929,0.10774729251861573,-79.95683811968574,-28.087360241278837,-1028.272747162658,-28.95879651381589,-32.05955719018989,0.0734136846962276
LinearSVR,0.05613300885225814,25.615486450545013,1078.2998270725677,4.165446209907532,0.007714748382568359,-97.32222098495886,-25.780863897789413,-1070.9395390904415,-21.327593255643187,-32.69128745359491,0.03215842632906178
SGDRegressor,-4.866964068511945e+21,2200824866305.2144,5.560154728012267e+24,0.35318403244018554,0.007725977897644043,-3288998985428.6104,-1044258786259.5569,-2.2376293592809227e+24,-929993255064.0364,-1177582758066.6301,-2.0140674537630306e+21
