description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.13512124357545885,27.073612983626877,988.0614771338496,6.815195250511169,1.1289792776107788,-83.84569094249778,-26.823321069566322,-976.0062119519637,-26.30215829069484,-31.23213782259048,0.12058899445920926
KNeighborsRegressor,0.20094851958116233,24.635714285714283,912.8585714285715,0.05333352088928223,0.1074028730392456,-82.91999999999999,-25.26948058520427,-946.4405891608391,-22.259999999999998,-30.734785746857323,0.14782380456182512
DecisionTreeRegressor,-0.4116480792714843,31.286830357142858,1612.7059151785713,7.435183787345887,0.022130656242370605,-112.4,-31.69748803827751,-1657.353919764446,-24.45,-40.67849826465301,-0.4953490914671116
BaggingRegressor,0.18341598059185094,25.388523065476193,932.8882302021331,42.75734272003174,0.036239123344421385,-80.29999999999998,-25.218031109241636,-902.8980841588507,-23.270333333333333,-30.02800010527853,0.18615302005603568
RandomForestRegressor,0.2918396413293235,24.044430989583333,809.0220332482329,422.55469636917115,0.032305359840393066,-74.66566666666667,-24.060510578456633,-796.692041405627,-22.730999999999998,-28.208895904745297,0.28243695864759666
AdaBoostRegressor,0.23414952396667288,25.734011030921835,874.9288232508139,99.77806158065796,0.04077303409576416,-78.93587124106845,-25.060450251918912,-849.5651804014169,-24.916879212629617,-29.131731120867215,0.23458737893692844
GradientBoostingRegressor,0.34126313146629783,22.428215128032072,752.5592674477067,214.35026547908782,0.021986985206604005,-76.57283995786273,-22.660328211303593,-746.2438678248079,-20.829002693953218,-27.293712849730422,0.3275464358152743
NuSVR,0.12242027564175095,28.00720057545268,1002.5714151389046,4.031139278411866,0.581662631034851,-79.19910546349789,-27.512922002633456,-985.0308697510251,-28.32973710639944,-31.377994885931685,0.11235082492617154
LinearSVR,0.38869751477613945,21.16894608397505,698.368912450654,0.3966193675994873,0.02024366855621338,-80.9788571679738,-21.136755248803023,-684.3494475731306,-18.48056763643675,-26.1380207616562,0.38309275750679117
SGDRegressor,0.35823260621619135,21.45985662211831,733.1728688767896,5.303820943832397,0.020226430892944337,-84.27347240209606,-21.80290082664728,-725.768379894085,-19.159603763323613,-26.922569622795827,0.3458064014142266
