description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.1471043662271786,26.766516248201462,974.3716254870341,2.0928183794021606,0.3097981452941895,-77.1463678900245,-26.484409681142562,-954.3286226840364,-25.21538171538226,-30.883517340479138,0.14009062744431106
KNeighborsRegressor,-0.46474922255678086,34.93058035714286,1673.3701339285715,0.017252039909362794,0.036756587028503415,-93.64,-34.21277649981598,-1633.499091001104,-32.61999999999999,-40.398351653122845,-0.4754058290779192
DecisionTreeRegressor,-0.8052500702923175,36.081473214285715,2062.367745535714,0.304174542427063,0.005636739730834961,-106.9,-35.33526407802724,-1928.021687523003,-30.5,-43.879315237253934,-0.7376776343950676
BaggingRegressor,0.03918813774663288,28.038668154761904,1097.6581177579367,0.5358917236328125,0.1318509101867676,-81.28,-27.676642509354686,-1065.4195251099113,-26.35,-32.63258007340395,0.039642181738101266
RandomForestRegressor,0.15125653584940724,27.01966311915391,969.6280717579427,3.1753485202789307,0.04278063774108887,-73.77733333333332,-26.631415932860996,-956.7963823135809,-26.374666666666666,-30.920825473126996,0.13793084807519415
AdaBoostRegressor,0.09421731949351753,28.321927151064706,1034.7912543988782,2.6768505573272705,0.012569499015808106,-73.88351990454882,-27.91232631484012,-1020.7578707184011,-27.95998990992763,-31.936634673508525,0.07976078113000062
GradientBoostingRegressor,0.16178011949310012,26.37339770064841,957.6056379514812,5.478227281570435,0.007195568084716797,-74.44297967228377,-26.008208325080478,-942.6394136775212,-25.2417960180985,-30.691218180860396,0.15047326532051453
NuSVR,0.12539421672942508,27.84931293866298,999.1739023636527,1.4293809175491332,0.15633575916290282,-75.39207023011811,-27.259020559025565,-973.4453623827101,-27.714653964890495,-31.191776077700837,0.12289513720094802
LinearSVR,-2.6406948908422683,45.68241539427056,4159.230811160664,2.2567294120788572,0.006630587577819824,-518.2235819782884,-50.70343844102055,-5840.831950337358,-38.61199995612269,-75.72972511537576,-4.311293513015273
SGDRegressor,-3.6202676989545066e+25,153486874102663.1,4.13589422063813e+28,0.4120500564575195,0.006206107139587402,-691294849430844.4,-158109070430058.7,-4.2924474684013366e+28,-127002846326794.66,-206280043366049.53,-3.864695275299404e+25
