description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.1118137445183982,27.45934420454008,1014.6886104465227,2.436665678024292,0.41065082550048826,-77.25793766190824,-27.113643826233936,-992.0464945453556,-26.48098080690887,-31.486472770361196,0.10634130415911
KNeighborsRegressor,-0.16514626105891494,31.730133928571426,1331.0954017857143,0.016621327400207518,0.03341684341430664,-82.36000000000001,-31.08555207949945,-1279.329551159367,-30.480000000000008,-35.755484989020204,-0.15444218766610923
DecisionTreeRegressor,-0.7061461832501823,35.66015625,1949.148716517857,0.345163369178772,0.006214761734008789,-106.7,-33.97442721751933,-1846.7080902649982,-28.35,-42.954957093378255,-0.6647294618285622
BaggingRegressor,0.05024891052246094,27.929795386904765,1085.0219841889882,0.5440194845199585,0.14838776588439942,-79.05999999999999,-27.319564958798516,-1040.339528094238,-25.85,-32.23268464324999,0.06339217814393039
RandomForestRegressor,0.13680841337415472,27.231631138392856,986.1340075653212,3.2009326934814455,0.02189505100250244,-74.43541666666667,-26.393883482854864,-942.853767735947,-25.783499999999997,-30.69574468822329,0.15046259769126027
AdaBoostRegressor,0.10505864129264675,28.49551201287352,1022.4058277117729,3.504343104362488,0.015484333038330078,-72.33522076146012,-27.773250558774617,-999.9338436577067,-28.172219119050204,-31.612915968602685,0.09886332858951227
GradientBoostingRegressor,0.1381095070381747,26.94024523338971,984.6476020801458,5.496052193641662,0.006927275657653808,-78.23977380794835,-26.47884392943983,-970.8284254475899,-24.13967543421013,-31.14101555177794,0.1253320288264939
NuSVR,0.10051758049185178,28.298068586854868,1027.5936615084279,1.3291214466094972,0.13956241607666015,-75.82126073645816,-27.650586385754046,-998.5684147921226,-28.196800395307662,-31.59073550664117,0.10038431957636695
LinearSVR,-2.692706533862562,48.15201227522672,4218.6503545926735,1.8971431970596313,0.0060768604278564455,-254.84808249466377,-47.843616220722524,-3964.532085506674,-39.39994234889595,-62.83844843079631,-2.587517690073723
SGDRegressor,-2.3238480764720877e+26,395284107964318.7,2.6548284901410875e+29,0.33999905586242674,0.0063054561614990234,-2160657398159138.5,-494008424528311.0,-4.1252523420222436e+29,-389646961279674.75,-639441146712583.1,-3.743953482816571e+26
