description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.10615076063750617,27.606048436346345,1021.1581602843183,2.213259482383728,0.38248870372772215,-77.67932904418699,-27.146874192679245,-992.5554624282647,-26.420789149984483,-31.49581224454542,0.10574629580729825
KNeighborsRegressor,-0.16494782712563616,31.796651785714285,1330.8687053571427,0.013115596771240235,0.03891878128051758,-84.44,-31.253453257269047,-1327.4809319101953,-30.95,-36.419868854438135,-0.19809926282390516
DecisionTreeRegressor,-0.8107155027446962,36.238839285714285,2068.6116071428573,0.34540042877197263,0.006418585777282715,-108.5,-35.546554103790946,-1957.666640596246,-30.1,-44.223402510057575,-0.7646426311791515
BaggingRegressor,0.0767976564357189,27.612942708333332,1054.691960577877,0.5513732194900512,0.12877154350280762,-78.92999999999999,-27.091742224880385,-1027.6273659752383,-25.8,-32.03798772580614,0.0744709420453146
RandomForestRegressor,0.12506642885544517,27.44335839179422,999.5483763214709,3.1887521266937258,0.03555912971496582,-75.63425,-26.542037735400566,-951.5249604766155,-25.983083333333333,-30.83311657543279,0.14276526436734566
AdaBoostRegressor,0.1153592222988824,28.145297619267954,1010.6381583029035,3.935200810432434,0.019745826721191406,-72.84455226006736,-27.564660364256078,-990.2718116220778,-27.60619240906174,-31.461671315826646,0.10736043876450937
GradientBoostingRegressor,0.12190795645687036,27.154264874577674,1003.1567027839264,5.607822585105896,0.006539249420166015,-78.70580232537095,-25.9055464093176,-935.9850671138684,-24.38934146104972,-30.579959904008156,0.15675602331534835
NuSVR,0.09685893094136544,28.373577261959262,1031.7734042207048,1.4194990158081056,0.13835816383361815,-76.19775774956358,-27.66829614786522,-1000.1742939963109,-28.144504058097407,-31.617391948706057,0.09881548993581743
LinearSVR,-3.0057480172846827,48.923645777359056,4576.277626874066,2.2607961654663087,0.00614931583404541,-353.31553306772804,-49.410420238187086,-4647.453674125982,-38.6534104729327,-67.96873234405754,-3.2073839108568327
SGDRegressor,-1.0962896168453401e+28,2661659736524945.0,1.2524316618259035e+31,0.4088720798492432,0.006568098068237304,-1.1075803289341388e+16,-2411331911227482.0,-1.0333595854753824e+31,-1817508452460823.2,-3203752389702700.0,-9.351943061657822e+27
