description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.12122080182953632,27.22847442520818,1003.9417272871409,2.339327836036682,0.3038167953491211,-76.78396717617105,-26.84140880216405,-975.225896188155,-26.02386218936624,-31.218776834896858,0.12137127928498388
KNeighborsRegressor,-0.7383198246998461,37.239062499999996,1985.9047767857141,0.017765140533447264,0.04590327739715576,-92.42,-36.81025349650349,-1933.4731614832533,-34.76,-43.92216119197592,-0.7484045418723361
DecisionTreeRegressor,-0.6652013555469047,34.627232142857146,1902.3722098214287,0.33428866863250734,0.00643305778503418,-115.2,-35.12770979020979,-1925.3518724696355,-29.7,-43.8531166474868,-0.7351765162442264
BaggingRegressor,0.05688084950774053,28.097888764880953,1077.445473167783,0.5484290361404419,0.13198695182800294,-79.44,-27.2582314439946,-1033.3795280594406,-25.6,-32.138697014453804,0.06845318778991842
RandomForestRegressor,0.1383888274117343,27.17488392857143,984.3284987389633,3.1772511482238768,0.03280141353607178,-75.80616666666667,-26.731966919593567,-965.2208735274237,-26.199450000000002,-31.049226974313576,0.1305940480760527
AdaBoostRegressor,0.12022551966144457,27.92769914772066,1005.0787652382581,3.06596999168396,0.013960433006286622,-73.59423245930826,-27.578744953782678,-999.7525277930941,-28.27481234646395,-31.60697614434211,0.09920873906614078
GradientBoostingRegressor,0.12667365231660743,26.963296309611533,997.7122396661028,5.614180326461792,0.006949853897094726,-76.0546650175888,-26.60668305412703,-973.6054474655751,-25.174434295898408,-31.183843996195748,0.123108555686264
NuSVR,0.10885389894784647,28.121360919764662,1018.0700201121011,1.5973692655563354,0.1591944932937622,-75.2607168904483,-27.494733644177337,-988.7502101454463,-28.180561418771493,-31.435992894072335,0.10911258197914164
LinearSVR,-2.3107050975472863,46.80323555193895,3782.2413196508437,2.48059139251709,0.006543731689453125,-344.7051241970081,-49.73087480652056,-4610.1837846459,-40.22537727177247,-67.77078306907045,-3.1750247207250983
SGDRegressor,-1.0867622890831169e+28,2697051341436735.0,1.241547378367726e+31,0.39722356796264646,0.006839108467102051,-1.466352437323872e+16,-3200123365540637.0,-1.7321582477129167e+31,-2515284452524748.5,-4144599359340052.0,-1.5610696010121638e+28
