description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.117797151720346,27.361791975666385,1007.8530001204115,2.1816234588623047,0.33988027572631835,-77.01834155389133,-27.00597891252671,-983.959804226912,-26.201109865037523,-31.357579082122555,0.11365080592662287
KNeighborsRegressor,-0.17033887616092258,31.99196428571429,1337.0275892857142,0.013803768157958984,0.03082730770111084,-81.34,-31.034653110047845,-1285.288424181082,-30.55,-35.83891586291146,-0.1600593645384039
DecisionTreeRegressor,-0.7461265372402395,35.280691964285715,1994.8233816964287,0.37134747505187987,0.0069589376449584964,-109.2,-34.63124194884064,-1883.3963177447554,-28.9,-43.35525447306253,-0.698515712229446
BaggingRegressor,0.05698747669137261,27.96339099702381,1077.3236593160962,0.5679759025573731,0.1190880537033081,-77.75999999999999,-27.489383653079376,-1050.6624962096228,-25.718333333333334,-32.39221985217611,0.054060534478246755
RandomForestRegressor,0.14034594329988537,27.150957589285714,982.0926352713914,3.2620359659194946,0.030582070350646973,-75.4585,-26.638167191470806,-961.7333577768968,-26.207833333333337,-30.99912629252716,0.13362839213142025
AdaBoostRegressor,0.09060599539638803,28.59684840609506,1038.9169312007575,2.760486030578613,0.013427472114562989,-72.83800898268895,-27.788360702157927,-1010.3009170775083,-27.817358715518843,-31.776121931332955,0.08955094883746428
GradientBoostingRegressor,0.1448154700159242,26.57272026649295,976.9865239970259,5.257672500610352,0.006779861450195312,-75.31496983639391,-26.459214416665965,-963.2825786998734,-25.16617733565585,-31.026489576378605,0.13213185159770813
NuSVR,0.10430459021071459,28.231430536734205,1023.2672765799686,1.3582873821258545,0.1587131977081299,-75.58467086582236,-27.567481226861606,-992.6650150188689,-28.180330658985163,-31.497298322304385,0.10570141115421874
LinearSVR,-2.2336583637094534,45.40534884709562,3694.2209941674655,2.2570489168167116,0.00646364688873291,-319.6768046578168,-49.71905955406904,-4669.434126555132,-39.108656538252845,-68.19668698332075,-3.21007168525067
SGDRegressor,-1.6884484719860316e+26,333704096827795.7,1.928930360356775e+29,0.39909265041351316,0.006885147094726563,-1488195904917139.5,-336865912132492.6,-1.9233410028593402e+29,-271920743054294.3,-436321125637752.5,-1.7299829660359562e+26
