description,r2_value,mean_abs_error_value,mean_square_error_value,fit_time,score_time,test_max_error,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_neg_median_absolute_error,test_neg_root_mean_squared_error,test_r2
SVR,0.13243180430410095,26.60803793991815,991.1339671440162,0.5818226575851441,0.12070770263671875,-76.60608423560112,-26.35928122247057,-964.2213737153464,-24.89365902512318,-31.035616339886037,0.13165899745585383
KNeighborsRegressor,-0.1013009831859486,29.89776785714286,1258.1567857142857,0.008479642868041991,0.02640683650970459,-83.80000000000001,-29.18876932278248,-1235.3769264814132,-26.360000000000003,-35.11440874485841,-0.11294540048394157
DecisionTreeRegressor,-0.7779155810586849,35.950892857142854,2031.1400669642858,0.5922017335891724,0.0037793397903442385,-114.8,-35.52983069562017,-1957.9573334560177,-30.3,-44.22952207885203,-0.767616904430447
BaggingRegressor,0.0412603824445652,28.097421875000002,1095.2907279451886,0.8527079105377198,0.05103576183319092,-83.5,-27.605691172862226,-1059.0205999712714,-26.145,-32.533265771802384,0.04515460745587903
RandomForestRegressor,0.10278919593286717,27.674314546130955,1024.9985050296068,6.185451006889343,0.045685553550720216,-75.04866666666666,-26.620422458654286,-955.8590780765284,-26.321083333333338,-30.903096100315718,0.13911285046830799
AdaBoostRegressor,0.08880979278477619,28.379246292883636,1040.9689628785823,6.281902956962585,0.009238386154174804,-72.6617025216262,-27.589462309721778,-994.6621610265145,-27.762416194237932,-31.526751040036817,0.10359059538674842
GradientBoostingRegressor,0.06279774607874444,27.98088460096728,1070.6858464310098,19.79786434173584,0.004319882392883301,-75.66100882405776,-26.82359145417512,-988.2908222059423,-25.541747277395363,-31.42396187002288,0.10956977283498961
NuSVR,0.12347467782412636,27.724062927392904,1001.3668368438867,0.3253657102584839,0.05758912563323974,-74.53823375148329,-27.154586371259757,-972.5728833552691,-27.23111546953257,-31.174579864326933,0.12393140044976984
LinearSVR,-3.5854772690727126,56.699302109349546,5238.57640182306,2.083760619163513,0.004459285736083984,-228.93321068833058,-49.67834888657224,-4034.1341343470485,-41.55204127780582,-63.084623655256564,-2.642379770473535
SGDRegressor,-1.0646225115821056e+31,8.527125975326928e+16,1.2162542825452568e+34,0.20130419731140137,0.004185771942138672,-4.974063180450459e+17,-1.4421553776973955e+17,-3.4282380921419683e+34,-1.2866412182128093e+17,-1.7283583556816598e+17,-3.133739512297475e+31
