description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.6345357421523318,0.5977543073179244,0.6368918275335564,0.6345357421523318,4380.549186944962,559.0807567596436,0.6024431386186062,0.6394340836012862,0.64013198343705,0.6394340836012862
KNN,0.4258447872276574,0.2719692454339548,0.529299020971834,0.4258447872276574,0.4046444892883301,22.46436924934387,0.2675890622818011,0.4205787781350482,0.5431304252056754,0.4205787781350482
GausianNB,0.5784166616649661,0.43497976564962154,0.5469161015948263,0.5784166616649661,0.9337853908538818,0.17659358978271483,0.44058719206334274,0.5829710610932476,0.530572585118189,0.5829710610932476
DT,0.6204309465218174,0.6207074969993073,0.6210110549921938,0.6204309465218174,12.092983436584472,0.043985939025878905,0.6221750051765926,0.6218906752411575,0.6225512702480629,0.6218906752411575
bagging,0.6510413540603806,0.6416998826086738,0.6454269878399234,0.6510413540603806,70.60959539413452,0.3718505859375,0.6449493336315069,0.654790996784566,0.6484666495163386,0.654790996784566
RF,0.6355560890702839,0.6235838595226247,0.6285454209508812,0.6355560890702839,23.828185749053954,0.45653395652770995,0.6266785234889067,0.6384051446945337,0.6305352288628029,0.6384051446945337
Adaboost,0.6626853130064222,0.6553407762647279,0.6578886137324758,0.6626853130064222,31.34416480064392,0.7858255863189697,0.6591105243254399,0.6663922829581994,0.6610503397123872,0.6663922829581994
GradientBoostingClassifier,0.687233659444211,0.6725400339210253,0.6888153106437824,0.687233659444211,154.4362093925476,0.10726828575134277,0.6738841480224302,0.6891832797427653,0.689688037280456,0.6891832797427653
NuSVC,0.6259528239601464,0.6162891539855541,0.6184333341731464,0.6259528239601464,11655.864263010026,535.6189071178436,0.6189156437464145,0.6282186495176849,0.6200932322649386,0.6282186495176849
LinearSVC,0.5562091110977733,0.5568648404971565,0.5576266812551033,0.5562091110977733,46.443484735488894,0.040819978713989256,0.5590838365418701,0.5584051446945338,0.5605042230462869,0.5584051446945338
SGDClassifier,0.5782966208510893,0.5799163875629313,0.5825491480152752,0.5782966208510893,28.96605134010315,0.04049572944641113,0.578447924882018,0.5769774919614148,0.5809536056522436,0.5769774919614148
