description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.5964227837464738,0.5778241087695418,0.5838296638243061,0.5964227837464738,4381.178702259063,594.9169349193573,0.5897776249344919,0.6075369774919614,0.5950680418960115,0.6075369774919614
KNN,0.42572474641378066,0.26771213860846194,0.548604331894451,0.42572474641378066,0.46518635749816895,23.09802680015564,0.2622310179875211,0.4200385852090032,0.5547289990934352,0.4200385852090032
GausianNB,0.5785367024788428,0.43289951959313805,0.5496167374488504,0.5785367024788428,1.217997407913208,0.23740830421447753,0.43918495609728614,0.5831254019292604,0.5311415159344515,0.5831254019292604
DT,0.6164695996638857,0.6167002087701019,0.6169488768918775,0.6164695996638857,12.877266788482666,0.0456087589263916,0.6161339292506808,0.6158971061093247,0.6164198195347497,0.6158971061093247
bagging,0.6496608847007983,0.6390863693183304,0.6439817544585497,0.6496608847007983,72.6970633506775,0.4103559017181396,0.6407027894625829,0.6505723472668811,0.6439320988373427,0.6505723472668811
RF,0.6293139667486946,0.6157760983335446,0.6216022698110066,0.6293139667486946,23.345261812210083,0.43593711853027345,0.6186252004916956,0.6320771704180064,0.6233431825294106,0.6320771704180064
Adaboost,0.659984394694196,0.6505514262975873,0.6551171874576661,0.659984394694196,31.204998445510864,0.8001222610473633,0.6526576125748372,0.6618906752411575,0.6561593933348229,0.6618906752411575
GradientBoostingClassifier,0.6828521697377108,0.6674865816813269,0.6841450391974992,0.6828521697377108,149.09101214408875,0.09277820587158203,0.6706234229460216,0.6858906752411575,0.6856914673107493,0.6858906752411575
NuSVC,0.5972630694436109,0.5903403419262321,0.5895388656734475,0.5972630694436109,11980.952760362625,543.8875643253326,0.5929293836006881,0.600411575562701,0.5918657774506493,0.600411575562701
LinearSVC,0.5275193565812376,0.5296923731113281,0.5333891918692036,0.5275193565812376,34.647198343276976,0.031014633178710938,0.5364960595323589,0.5339678456591641,0.5413876395427752,0.5339678456591641
SGDClassifier,0.562511253826301,0.5555530123342134,0.5536520317951855,0.562511253826301,28.225673961639405,0.029156923294067383,0.5586140371283416,0.564887459807074,0.5565901799170536,0.564887459807074
