description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.6171298241402077,0.5791460427965006,0.6117338494105913,0.6171298241402077,1842.0996587276459,290.29757966995237,0.5920824682891446,0.6283987138263666,0.6234352547216188,0.6283987138263666
KNN,0.4259648280415341,0.2786821771230674,0.5118246346018984,0.4259648280415341,0.23598995208740234,19.610077953338624,0.2744679626690344,0.4213504823151125,0.5318014022822455,0.4213504823151125
GausianNB,0.578236600444151,0.43499131422970966,0.5439261011694553,0.578236600444151,0.5745269775390625,0.12536344528198243,0.4403428983241017,0.5828167202572347,0.5272007314867129,0.5828167202572347
DT,0.6153292119320569,0.6156406550573744,0.6159853984335394,0.6153292119320569,10.748910045623779,0.034328556060791014,0.6199031474527827,0.6197041800643086,0.6201718526295121,0.6197041800643086
bagging,0.6532020887101615,0.6431703302790571,0.6478034580621702,0.6532020887101615,71.9113941192627,0.3287621021270752,0.6437679995917319,0.6541736334405145,0.6477757752294768,0.6541736334405145
RF,0.6281735790168658,0.614441452869301,0.620325944167635,0.6281735790168658,22.202209997177125,0.3120011806488037,0.620456138688834,0.6355755627009646,0.6272092872165334,0.6355755627009646
Adaboost,0.652962007082408,0.6445665317926168,0.6475020246115843,0.652962007082408,29.9448655128479,0.6538280487060547,0.6494917588433573,0.6574147909967846,0.6514926639208676,0.6574147909967846
GradientBoostingClassifier,0.6853730268291219,0.6699504865022402,0.6872414602420042,0.6853730268291219,149.17839937210084,0.10246171951293945,0.6697157940352751,0.6855819935691319,0.6858048572205264,0.6855819935691319
NuSVC,0.6129884160614609,0.6011426954934956,0.6039106760067564,0.6129884160614609,5219.031408119202,303.61820216178893,0.6058098172375436,0.6173118971061093,0.607622983976482,0.6173118971061093
LinearSVC,0.5375427645399435,0.5386691112669575,0.5401045763084573,0.5375427645399435,31.248067617416382,0.02925901412963867,0.5421287348931876,0.5417363344051447,0.5445227543392629,0.5417363344051447
SGDClassifier,0.565032110917712,0.5647169155187218,0.564423097840824,0.565032110917712,24.537677526474,0.028346681594848634,0.5563358461490585,0.5612604501607716,0.554912044285681,0.5612604501607716
