description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.6378968849408799,0.6183432726014331,0.6324021841716948,0.6378968849408799,4596.036373519897,534.3773315906525,0.6216665480304102,0.6413118971061093,0.6344292185177983,0.6413118971061093
KNN,0.4242242362403217,0.2665399180778627,0.5153803812001303,0.4242242362403217,0.26816539764404296,19.987006855010986,0.26296307700586175,0.4198842443729903,0.5587172851391404,0.4198842443729903
GausianNB,0.5784766820719045,0.43551482974396705,0.5478762317758463,0.5784766820719045,0.7130214691162109,0.14889416694641114,0.44106671435483563,0.5829710610932476,0.531641989291809,0.5829710610932476
DT,0.6213312526258928,0.6212464921298295,0.6211640853123255,0.6213312526258928,11.859176063537598,0.03919296264648438,0.6199842272999982,0.6198842443729904,0.6201156889473889,0.6198842443729904
bagging,0.6600444151011344,0.6504743418713617,0.6552009179807488,0.6600444151011344,80.6036602973938,0.4574423313140869,0.6538067804544322,0.6642057877813505,0.6587473429827636,0.6642057877813505
RF,0.6419782726126884,0.6344651579945385,0.6359591652096557,0.6419782726126884,24.6723753452301,0.3876168727874756,0.6382220276737443,0.6466623794212218,0.6399104509515754,0.6466623794212218
Adaboost,0.6631054558549907,0.6539835605034124,0.6584615078485663,0.6631054558549907,31.416491889953612,0.9773555755615234,0.6542444971275947,0.6628938906752413,0.657233265692417,0.6628938906752413
GradientBoostingClassifier,0.6836324350279095,0.6711363067310985,0.6828043171572116,0.6836324350279095,165.23614792823793,0.1543274402618408,0.6735196763030726,0.6879228295819936,0.6875155623660668,0.6879228295819936
NuSVC,0.6257727627393314,0.6178084770166913,0.6187511939737553,0.6257727627393314,12099.627675628662,531.7105954647064,0.6215211991738685,0.6295305466237943,0.6219576308305248,0.6295305466237943
LinearSVC,0.5657523558009724,0.5667970168023999,0.5681590766474217,0.5657523558009724,38.65976486206055,0.03432068824768066,0.5631455705697446,0.5611832797427653,0.5678114251710983,0.5611832797427653
SGDClassifier,0.5751155392833563,0.5738631822820396,0.5729203245418647,0.5751155392833563,32.22671337127686,0.03106656074523926,0.5766346781112506,0.5776977491961415,0.5770216058676161,0.5776977491961415
