description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.6431186603445171,0.6248924005312229,0.6382280230738501,0.6431186603445171,4246.614132070541,553.9415619373322,0.6298767834944863,0.6484372990353697,0.6427944887947218,0.6484372990353697
KNN,0.4253646239721505,0.26636170150210486,0.5473468427835328,0.4253646239721505,0.528909969329834,24.453623819351197,0.2627870599840523,0.4205787781350482,0.5626549234444255,0.4205787781350482
GausianNB,0.5781765800372126,0.4375672002791178,0.5436576783055789,0.5781765800372126,1.45776047706604,0.2659038543701172,0.44199791704927927,0.5826109324758842,0.5292580130499378,0.5826109324758842
DT,0.6221115179160914,0.622400484572754,0.6227193860862635,0.6221115179160914,15.673797655105592,0.0589752197265625,0.622213263835841,0.6221221864951769,0.6223246592948255,0.6221221864951769
bagging,0.6661064762019087,0.6563581940933277,0.6618500461645608,0.6661064762019087,105.17058911323548,0.745421314239502,0.6519459572880073,0.6619163987138263,0.6561962389225746,0.6619163987138263
RF,0.6366364563951744,0.6279926027723026,0.6300583341621163,0.6366364563951744,36.11836848258972,0.8446595191955566,0.6339324503157995,0.6429067524115755,0.6358516321098959,0.6429067524115755
Adaboost,0.6624452313786687,0.6557494884066225,0.6576659634775361,0.6624452313786687,42.78475275039673,1.3606565952301026,0.6575547285789826,0.6645144694533762,0.6591262004313483,0.6645144694533762
GradientBoostingClassifier,0.6844127003181082,0.6723118080330663,0.6834285440492118,0.6844127003181082,151.27626934051514,0.10391445159912109,0.6753107295783007,0.6888745980707396,0.6879462003123671,0.6888745980707396
NuSVC,0.6315347218054138,0.624889693019119,0.6252897548892772,0.6315347218054138,11245.10508966446,555.6898082256317,0.628568141454879,0.6352926045016077,0.628631495280781,0.6352926045016077
LinearSVC,0.5695936618450274,0.5707117678010688,0.5722115046348913,0.5695936618450274,70.53451609611511,0.05613837242126465,0.5723370272686917,0.570855305466238,0.574702684702499,0.570855305466238
SGDClassifier,0.589940579797131,0.5901418995224368,0.5903545877937093,0.589940579797131,44.25547895431519,0.056429719924926756,0.5803559253781145,0.5792154340836012,0.5829960990778014,0.5792154340836012
