description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.6191104975691735,0.5468331801260263,0.6437463069142808,0.6191104975691735,695.5047125816345,152.99917912483215,0.5465380179035483,0.6232797427652732,0.650476425164905,0.6232797427652732
KNN,0.5909009063081447,0.5791864694041414,0.5801450258809044,0.5909009063081447,0.10770978927612304,6.830773067474365,0.5866740273604341,0.5979935691318328,0.5870092738741086,0.5979935691318328
GausianNB,0.5699537842866574,0.5580642518012314,0.5576702737443515,0.5699537842866574,0.29665708541870117,0.07108936309814454,0.5677283208227188,0.5776463022508038,0.5663832695392623,0.5776463022508038
DT,0.5538683152271773,0.5541487928719333,0.5544468938752068,0.5538683152271773,29.36648745536804,0.021968269348144533,0.5499345374327758,0.5496591639871383,0.550353556717625,0.5496591639871383
bagging,0.5936618450273092,0.5699585423083312,0.5795531170570749,0.5936618450273092,191.3890546798706,0.143767786026001,0.5775734869839526,0.5999485530546623,0.5852405481182517,0.5999485530546623
RF,0.6189304363483584,0.590191666875747,0.6112286679610295,0.6189304363483584,81.93021187782287,0.3204381465911865,0.5977707695790928,0.6250032154340837,0.6159677318428664,0.6250032154340837
Adaboost,0.6149090690834884,0.5941012447534547,0.6051136709060557,0.6149090690834884,113.94315109252929,0.3024599552154541,0.6028925428194902,0.6220707395498393,0.6116616515756725,0.6220707395498393
GradientBoostingClassifier,0.630394334073585,0.5992058422871764,0.6275276059373642,0.630394334073585,611.4585548400879,0.07473583221435547,0.6129226188058947,0.6413633440514468,0.6378606380434785,0.6413633440514468
NuSVC,0.6528419662685313,0.6538550426154204,0.6554478120806422,0.6528419662685313,2031.0058230400086,77.90247449874877,0.6418422141054027,0.6409774919614147,0.6432229312075266,0.6409774919614147
LinearSVC,0.6396374767420923,0.6231407967845808,0.6336443147907281,0.6396374767420923,12.522571277618407,0.020131969451904298,0.6294812486989871,0.6458135048231511,0.6390479083466689,0.6458135048231511
SGDClassifier,0.6158693955945022,0.5495342383256343,0.6287842770007063,0.6158693955945022,1.2216543197631835,0.019391632080078124,0.5391119551681898,0.6164630225080386,0.6383775119855899,0.6164630225080386
