description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.5942620490966929,0.47006494191114395,0.6612504554587177,0.5942620490966929,777.7319740772248,170.6854004383087,0.4623569939807536,0.5950096463022508,0.6638546758326572,0.5950096463022508
KNN,0.5847188043934938,0.5741336976494734,0.5741501476892391,0.5847188043934938,0.1716123104095459,8.043013715744019,0.5803139096343278,0.5899678456591639,0.5795182820996593,0.5899678456591639
GausianNB,0.5662925394634175,0.5525353481530312,0.552569548184426,0.5662925394634175,0.48993511199951173,0.10643868446350098,0.5653027736338326,0.5770289389067523,0.5644500483685453,0.5770289389067523
DT,0.5383230298301422,0.5388315511920744,0.539394896501403,0.5383230298301422,31.94826922416687,0.03519115447998047,0.5446717928449643,0.5440514469453376,0.5454754996133226,0.5440514469453376
bagging,0.5815977432326991,0.5548724401696892,0.564324791722476,0.5815977432326991,217.0698854446411,0.29837679862976074,0.5686607498091808,0.5923858520900321,0.575986138734484,0.5923858520900321
RF,0.6089670487965908,0.5765573036139231,0.5987804651828965,0.6089670487965908,92.54646434783936,0.7661058902740479,0.5876115507466131,0.61816077170418,0.6076418331483711,0.61816077170418
Adaboost,0.6126883140267692,0.5930708242899921,0.6024965431756966,0.6126883140267692,136.18127274513245,0.49349751472473147,0.6020432536148882,0.6189839228295819,0.608227845053812,0.6189839228295819
GradientBoostingClassifier,0.6264329872156533,0.596683128030077,0.621495694997157,0.6264329872156533,576.6993181705475,0.04826211929321289,0.6082317828080379,0.6364244372990354,0.6311145982250691,0.6364244372990354
NuSVC,0.6189304363483584,0.6212734322473769,0.6300812827928054,0.6189304363483584,395.69024777412415,60.060714435577395,0.6100781567763832,0.6076655948553056,0.6263412697636651,0.6076655948553056
LinearSVC,0.6213312526258928,0.5787323997276347,0.6203320442668461,0.6213312526258928,2.4986573696136474,0.015181684494018554,0.5884181196940453,0.62983922829582,0.6283261688589705,0.62983922829582
SGDClassifier,0.5784166616649661,0.4239901633059495,0.7561598410446347,0.5784166616649661,0.7335803031921386,0.014930391311645507,0.43199066361379446,0.5847459807073955,0.6563204864695207,0.5847459807073955
