description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.5972630694436109,0.48093806458800575,0.6518864971338685,0.5972630694436109,719.5524973869324,155.5332206249237,0.4722335158288601,0.5984308681672026,0.6628066666292157,0.5984308681672026
KNN,0.5989436408378849,0.5895459183017945,0.5898425347341101,0.5989436408378849,0.08999490737915039,6.619918775558472,0.5913151809794591,0.6006688102893891,0.5909547507954875,0.6006688102893891
GausianNB,0.5737350699237741,0.5601922226850564,0.5607222591355429,0.5737350699237741,0.23259382247924804,0.05740456581115723,0.5708104384803052,0.5823536977491962,0.5702158224462147,0.5823536977491962
DT,0.5467859072084509,0.5468940656660268,0.5470046432186149,0.5467859072084509,28.610493421554565,0.02060689926147461,0.5521172019932725,0.5514083601286174,0.5529523929294144,0.5514083601286174
bagging,0.5951023347938299,0.570512808586537,0.581140765815006,0.5951023347938299,189.29637851715088,0.14549574851989747,0.5793769748077046,0.6026752411575562,0.5883582996714434,0.6026752411575562
RF,0.6201308444871256,0.5905235658035676,0.6130421049423496,0.6201308444871256,81.21597490310668,0.3199582099914551,0.5992011138733584,0.6270610932475884,0.6187409865883681,0.6270610932475884
Adaboost,0.6155692935598104,0.5939003914681901,0.6059366726751013,0.6155692935598104,112.46064238548279,0.296427059173584,0.607001839839837,0.6252861736334405,0.615471087497766,0.6252861736334405
GradientBoostingClassifier,0.6315347218054138,0.6025428089491297,0.6280208948930772,0.6315347218054138,611.5982341766357,0.09105305671691895,0.6108605231987294,0.6385594855305465,0.6338034064451437,0.6385594855305465
NuSVC,0.6279935177960506,0.6302518767563776,0.6422718920959241,0.6279935177960506,589.4250182628632,76.54420824050904,0.6142174745246933,0.6116012861736335,0.6259420574728277,0.6116012861736335
LinearSVC,0.634415701338455,0.6058616322976204,0.6316771319968009,0.634415701338455,5.61239447593689,0.01981959342956543,0.6099546817605173,0.6388167202572347,0.6345935143699,0.6388167202572347
SGDClassifier,0.5803373146869936,0.4299212541881659,0.6564954402159793,0.5803373146869936,1.1819475173950196,0.018956756591796874,0.4503335367586677,0.5909710610932477,0.6782033825814805,0.5909710610932477
