description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.7079406998379449,0.6948905316990586,0.7119386381770652,0.7079406998379449,1732.1838872909545,527.5590549945831,0.6886098326849271,0.7025337620578778,0.7045578244824462,0.7025337620578778
KNN,0.6745693535802173,0.6685771939544358,0.6704604072053856,0.6745693535802173,0.5813468933105469,46.7669855594635,0.665812598227143,0.6723858520900321,0.6674494233156515,0.6723858520900321
GausianNB,0.5975631714783026,0.5902414808857186,0.5895879290540281,0.5975631714783026,1.4847046375274657,0.27556619644165037,0.5922457570587922,0.5989710610932477,0.5909820273740218,0.5989710610932477
DT,0.5721745393433767,0.5721164577598888,0.5720591733384428,0.5721745393433767,243.1505509853363,0.06327543258666993,0.5708235718104276,0.5702893890675241,0.5714754767531736,0.5702893890675241
bagging,0.6301542524458316,0.6115048826108188,0.6229620868411102,0.6301542524458316,1826.7263449192046,0.7463128089904785,0.6105414077308302,0.6284244372990353,0.6190448754070148,0.6284244372990353
RF,0.6618450273092852,0.6447282572785299,0.6601288544512892,0.6618450273092852,245.34522671699523,0.5516860008239746,0.6433847758857915,0.6618906752411575,0.6589029977640922,0.6618906752411575
Adaboost,0.6488205990036613,0.6381331430370243,0.643070703956642,0.6488205990036613,969.0647242546081,1.5936023712158203,0.640797452880759,0.6500064308681672,0.6433855284314154,0.6500064308681672
GradientBoostingClassifier,0.6773302922993818,0.6603450256658366,0.6788319596806011,0.6773302922993818,4639.999198007584,0.18648118972778321,0.6568748367411554,0.6738263665594855,0.6724451874294862,0.6738263665594855
NuSVC,0.7087209651281435,0.705285625475578,0.706039399784124,0.7087209651281435,7972.3582950592045,473.79123573303224,0.7023986784521385,0.7060064308681672,0.7028353650776953,0.7060064308681672
LinearSVC,0.6935958225796771,0.6896669773554017,0.6904014810781623,0.6935958225796771,248.37371525764465,0.05306401252746582,0.6798496681801515,0.6833183279742765,0.6796755352909869,0.6833183279742765
SGDClassifier,0.6986975571694376,0.6877429295502282,0.6989330674352174,0.6986975571694376,11.386387205123901,0.05251255035400391,0.6789757246243701,0.689749196141479,0.6944087452598213,0.689749196141479
