description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.6225916811715984,0.5636700036362245,0.6354447771093944,0.6225916811715984,135.86829504966735,11.66230878829956,0.5736691108281029,0.6300450160771704,0.64049317262998,0.6300450160771704
KNN,0.5770962127123221,0.5667700890827854,0.5662458155972716,0.5770962127123221,0.007739448547363281,1.1966359615325928,0.5808742491639091,0.5907909967845658,0.5801981794037042,0.5907909967845658
GausianNB,0.5890402736930557,0.5507269387704143,0.5719001582777535,0.5890402736930557,0.013723611831665039,0.013498878479003907,0.5636033325505253,0.5991768488745981,0.5825440198926503,0.5991768488745981
DT,0.5403037032591081,0.5395435883017997,0.5388824154569568,0.5403037032591081,1.007559061050415,0.01506352424621582,0.5512075364747894,0.5507138263665595,0.5517655205642392,0.5507138263665595
bagging,0.5824380289298361,0.5587586133817422,0.5662150693929825,0.5824380289298361,6.605289554595947,0.040251874923706056,0.5702256266570191,0.5931575562700966,0.5771164782404974,0.5931575562700965
RF,0.6065662325190565,0.5760954710760398,0.5953572323360727,0.6065662325190565,14.41362943649292,0.2874269485473633,0.5863143841413905,0.6152540192926045,0.6036253772375375,0.6152540192926045
Adaboost,0.608666946761899,0.578021150917249,0.5981296604809813,0.608666946761899,3.693874740600586,0.07049565315246582,0.5843867091636208,0.6142508038585209,0.6024472683560691,0.6142508038585209
GradientBoostingClassifier,0.6159294160014405,0.5745211237239816,0.6113607493820907,0.6159294160014405,19.193080139160156,0.023916149139404298,0.586145693926084,0.6248231511254019,0.6193559199280892,0.6248231511254019
NuSVC,0.5910209471220215,0.582670587638926,0.5821204044026359,0.5910209471220215,2731.056251335144,10.362980556488036,0.5897711667156409,0.5978906752411575,0.5888891544895494,0.5978906752411575
LinearSVC,0.6082468039133305,0.560011575095609,0.6020512998802559,0.6082468039133305,0.3235189437866211,0.010632038116455078,0.5700832976260595,0.6151254019292605,0.6069988965204407,0.6151254019292605
SGDClassifier,0.5782966208510893,0.4238261513934513,0.33448176701807303,0.5782966208510893,0.10345540046691895,0.009749984741210938,0.43209663470203513,0.5847717041800642,0.6800781898636952,0.5847717041800642
