description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.6589040273693055,0.6232144359236114,0.6735055135210736,0.6589040273693055,1078.167094516754,253.79107847213746,0.6255046148365401,0.6620707395498393,0.6750564061491147,0.6620707395498393
KNN,0.6462997419122501,0.6384688163244033,0.640465587577612,0.6462997419122501,0.23243131637573242,13.470893001556396,0.639130756428211,0.6474855305466237,0.6408201122610706,0.6474855305466237
GausianNB,0.5781765800372126,0.5690101012531203,0.5681509944711104,0.5781765800372126,0.6442448139190674,0.13310437202453612,0.5785900986728978,0.5877041800643087,0.5774948562116438,0.5877041800643087
DT,0.5637116619650682,0.5635536818576619,0.5634011795911099,0.5637116619650682,62.17544813156128,0.034322929382324216,0.5715577853545456,0.5711897106109325,0.5719956170100644,0.5711897106109325
bagging,0.6180901506512214,0.6016538027320133,0.6088585036992672,0.6180901506512214,416.0587564468384,0.2335142135620117,0.6058153943071141,0.6235627009646303,0.6134949941994163,0.6235627009646303
RF,0.6500210071424284,0.6339460700807866,0.6456255943024172,0.6500210071424284,119.17003664970397,0.394257116317749,0.6430919536656259,0.6580578778135048,0.6528545454506004,0.6580578778135048
Adaboost,0.6319548646539823,0.6169861999236601,0.624603484062846,0.6319548646539823,246.05888900756835,0.4597426414489746,0.6255315480280297,0.6391254019292605,0.6311503896414286,0.6391254019292605
GradientBoostingClassifier,0.6543424764419903,0.633165409115433,0.6533789076087955,0.6543424764419903,1182.5809203147887,0.08750953674316406,0.6395890603237109,0.6590353697749196,0.6559116834084391,0.6590353697749196
NuSVC,0.6884940879899166,0.6827707887263265,0.6850929731273112,0.6884940879899166,5831.184803724289,126.23492150306701,0.6823922543977888,0.6875112540192926,0.6834486002781537,0.6875112540192926
LinearSVC,0.5517676009843346,0.5140884311201191,0.6753998291370537,0.5517676009843346,78.280610704422,0.021563100814819335,0.5852842204102828,0.6308167202572348,0.6772877586137017,0.6308167202572348
SGDClassifier,0.6781705779965188,0.667194299790841,0.6756723304827481,0.6781705779965188,9.477158117294312,0.020616769790649414,0.5927255973942404,0.6318971061093248,0.6768864302786588,0.6318971061093248
