description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.5784166616649661,0.4705611538474258,0.5484554149641822,0.5784166616649661,2915.855218553543,359.222675037384,0.48143017675866695,0.585491961414791,0.5573804466585972,0.585491961414791
KNN,0.5238581117579977,0.5225329783255537,0.5214588696122403,0.5238581117579977,0.22227563858032226,13.008496189117432,0.5301978208801821,0.5314212218649518,0.5291944405264456,0.5314212218649518
GausianNB,0.5241582137926896,0.5267541438769392,0.5408956199192675,0.5241582137926896,0.587437629699707,0.12463951110839844,0.5385786212094226,0.5357427652733119,0.5558323459613942,0.5357427652733119
DT,0.5166556629253947,0.5163054119873418,0.5159745259251076,0.5166556629253947,64.43415441513062,0.028589677810668946,0.51706327887391,0.5168102893890676,0.5173340911863569,0.5168102893890676
bagging,0.5494268051137386,0.5102099524853275,0.5185654265830048,0.5494268051137386,461.9016905784607,0.2171020984649658,0.521584942911238,0.5597170418006432,0.5295429906561645,0.5597170418006432
RF,0.5645519476622052,0.4871297232938462,0.522096554331272,0.5645519476622052,128.75071229934693,0.39170198440551757,0.49962172761422086,0.5753054662379421,0.5366387111279736,0.5753054662379421
Adaboost,0.5736750495168357,0.5185258776034334,0.5465203833903731,0.5736750495168357,228.77942848205566,0.39365158081054685,0.5228901117248946,0.5736591639871382,0.5431501005465003,0.5736591639871382
GradientBoostingClassifier,0.5767360902706921,0.4814384223461313,0.544581170992478,0.5767360902706921,1185.5037174224854,0.08308272361755371,0.49536204878832646,0.5850032154340836,0.5557794797193323,0.5850032154340836
NuSVC,0.5296800912310186,0.5202340032707472,0.5174062032832795,0.5296800912310186,7586.122219753265,327.63581027984617,0.5224420355772065,0.5330160771704181,0.5191672643566855,0.5330160771704181
LinearSVC,0.4544745213372547,0.40181802633181224,0.5183599495427029,0.4544745213372547,101.3962483882904,0.026425647735595702,0.3110267907082261,0.45440514469453375,0.5234658255653483,0.45440514469453375
SGDClassifier,0.48100354120400934,0.46822252021855293,0.5223593464250891,0.48100354120400934,22.504710149765014,0.027218723297119142,0.4550259751120471,0.5778006430868168,0.5289907185227711,0.5778006430868168
