description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.5773362943400756,0.4751000356348058,0.5452852661005619,0.5773362943400756,2966.960335111618,346.47563285827636,0.48779182129066945,0.585903536977492,0.5585583797116169,0.585903536977492
KNN,0.5224176219914771,0.5224037896034753,0.5223899903445504,0.5224176219914771,0.14864187240600585,12.458704948425293,0.5276202392016034,0.5271254019292604,0.5282529672268661,0.5271254019292604
GausianNB,0.5181561730988536,0.5200914299031215,0.5382522292593201,0.5181561730988536,0.37024927139282227,0.09086341857910156,0.5281717886415139,0.5259163987138263,0.549157868986814,0.5259163987138263
DT,0.512214152811956,0.5119888968478574,0.5117715936367894,0.512214152811956,62.812838840484616,0.02510180473327637,0.5178552718049796,0.5175819935691319,0.5181743545267585,0.5175819935691319
bagging,0.5496068663345538,0.5103066912513412,0.518751203512119,0.5496068663345538,444.8476568698883,0.216459321975708,0.5160128862833022,0.5539549839228296,0.5222606462173464,0.5539549839228296
RF,0.5626312946401777,0.4827423406099332,0.5167995042451858,0.5626312946401777,128.526442861557,0.398883056640625,0.4977562965911021,0.5747652733118971,0.5353206337064831,0.5747652733118971
Adaboost,0.5680931516715684,0.5096667033190063,0.5365015756615821,0.5680931516715684,229.20643854141235,0.3924537181854248,0.5276728421578726,0.5782122186495176,0.5500160767097284,0.5782122186495176
GradientBoostingClassifier,0.5739751515515276,0.48048492930462416,0.5372848385628446,0.5739751515515276,1184.4677232265472,0.08408432006835938,0.4976582827665518,0.5856720257234727,0.5578053261055863,0.5856720257234727
NuSVC,0.5218774383290319,0.5115694909199358,0.5084502378349305,0.5218774383290319,7687.525618219375,324.3654059410095,0.5194632400549661,0.5305980707395499,0.5160910348239722,0.5305980707395499
LinearSVC,0.5743352739931576,0.4411266406823251,0.5137728257857277,0.5743352739931576,86.29517178535461,0.021893644332885744,0.44843887876634714,0.5435112540192927,0.5183016151862024,0.5435112540192927
SGDClassifier,0.5777564371886441,0.4255096440316861,0.49943870431706505,0.5777564371886441,19.67504839897156,0.021147632598876955,0.43469109002586387,0.5023536977491961,0.5243661413265258,0.5023536977491961
