description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.5779364984094593,0.4958851758749591,0.5495919261851486,0.5779364984094593,2772.790435028076,357.0483169555664,0.5095274871594521,0.5906109324758841,0.5697280601038873,0.5906109324758841
KNN,0.5265590300702239,0.5256354855095297,0.5248430036873993,0.5265590300702239,0.31160759925842285,14.881347846984863,0.534150599475991,0.5345594855305466,0.533812157877035,0.5345594855305466
GausianNB,0.5331612748334433,0.5357488250537178,0.5496999641104535,0.5331612748334433,0.8584565162658692,0.17548565864562987,0.5449088818737617,0.5420450160771704,0.5618542947257581,0.5420450160771704
DT,0.5184562751335454,0.5181855203186428,0.5179266193281552,0.5184562751335454,68.3176100730896,0.042069005966186526,0.5200205439097229,0.5192797427652733,0.5208917628019557,0.5192797427652733
bagging,0.5521277234259648,0.5132442423441792,0.5222713283717298,0.5521277234259648,450.70435428619385,0.2224867343902588,0.5241232538558295,0.5617234726688103,0.5324760209512782,0.5617234726688103
RF,0.5661124782426025,0.49199296053962843,0.5267940575659527,0.5661124782426025,126.19339323043823,0.3972780227661133,0.511117537367142,0.5826366559485531,0.5527293759429313,0.5826366559485531
Adaboost,0.5737350699237741,0.5271975568665291,0.5488048156953079,0.5737350699237741,228.80006561279296,0.3973252773284912,0.535105515177771,0.5772090032154341,0.5512386497390176,0.5772090032154341
GradientBoostingClassifier,0.5798571514314868,0.495737500300897,0.5539854959638257,0.5798571514314868,1179.0271049022674,0.0780421257019043,0.5065953886886734,0.5875241157556269,0.5622841470837587,0.5875241157556269
NuSVC,0.5472660704639577,0.5385733955622029,0.5363450591378491,0.5472660704639577,7504.164688587189,349.21877589225767,0.5419588879971051,0.5515627009646302,0.5394426987286267,0.5515627009646302
LinearSVC,0.4444511133785487,0.3617111817255821,0.5212430984462351,0.4444511133785487,153.75612959861755,0.03743906021118164,0.3877351620593535,0.5052604501607717,0.49251722460470376,0.5052604501607717
SGDClassifier,0.5067522957805654,0.5097938528691071,0.5194948344519587,0.5067522957805654,33.99023728370666,0.037331342697143555,0.49251000880811197,0.5594083601286173,0.5297582911567918,0.5594083601286173
