description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.5798571514314868,0.4615287932304285,0.5549942782226424,0.5798571514314868,2973.339840936661,347.45993094444276,0.4689086689669642,0.5849260450160771,0.5544211386479398,0.5849260450160771
KNN,0.5230178260608607,0.520587147290945,0.5188905164017026,0.5230178260608607,0.14393768310546876,12.096099472045898,0.5275128930975883,0.5297491961414791,0.5259073663759336,0.5297491961414791
GausianNB,0.5169557649600864,0.5194221587831165,0.5346168353715542,0.5169557649600864,0.36229662895202636,0.08536086082458497,0.5276843176550178,0.5250675241157556,0.5465196333097102,0.5250675241157556
DT,0.510533581417682,0.5100476555636525,0.5095968670205948,0.510533581417682,63.02529263496399,0.024955177307128908,0.5146856665714628,0.5140578778135049,0.5154105525451759,0.5140578778135049
bagging,0.5462457235460056,0.5061311829132845,0.5138797338250104,0.5462457235460056,446.79328618049624,0.21701040267944335,0.5164711254945187,0.5540578778135048,0.5226067167593206,0.5540578778135048
RF,0.5622711721985475,0.4802754896285316,0.5147699931586215,0.5622711721985475,129.70984897613525,0.39554486274719236,0.49268473561618037,0.572475884244373,0.5292404566782054,0.572475884244373
Adaboost,0.5699537842866574,0.503943104292044,0.5371222558255117,0.5699537842866574,228.76128296852113,0.40665221214294434,0.5148458508162899,0.5737877813504824,0.5402114361382401,0.5737877813504824
GradientBoostingClassifier,0.5779965188163976,0.47565473350349896,0.5474662090360574,0.5779965188163976,1200.2396300315856,0.09410595893859863,0.4855698880958836,0.5836141479099679,0.5510210612903572,0.5836141479099679
NuSVC,0.5222375607706621,0.510593514846537,0.5075121051071779,0.5222375607706621,7529.707420778274,325.5108035564423,0.5250926933895739,0.5363086816720257,0.5219791348621363,0.5363086816720257
LinearSVC,0.4320268891423084,0.31898412042010615,0.5070496778038869,0.4320268891423084,98.33724374771118,0.026124048233032226,0.45022688911945874,0.5582508038585209,0.5621210637216373,0.5582508038585209
SGDClassifier,0.5780565392233359,0.4322534353089948,0.5393772366495321,0.5780565392233359,21.697788429260253,0.023673295974731445,0.44523535488511934,0.4882572347266881,0.5153304438736942,0.4882572347266881
