description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy
SVC,0.579076886141288,0.4656152636828775,0.5509451729027405,0.579076886141288,1678.529827928543,216.32641205787658,0.475405278537234,0.5860321543408359,0.5592086443299473,0.5860321543408359
KNN,0.5276994178020527,0.5244102866127669,0.5223819018933541,0.5276994178020527,0.2382054328918457,13.315907716751099,0.5318987277726839,0.5343279742765273,0.5302023623679772,0.5343279742765273
GausianNB,0.5189364383890522,0.5214843364657007,0.5360986732820895,0.5189364383890522,0.6584465026855468,0.13861279487609862,0.5315869150280031,0.5288745980707396,0.5497837739539851,0.5288745980707396
DT,0.5157553568213192,0.515458615425284,0.5151758170634153,0.5157553568213192,66.48632073402405,0.03175163269042969,0.5146502620576413,0.5139292604501609,0.5154726231983676,0.5139292604501607
bagging,0.5491267030790469,0.510612368992471,0.5185877012270456,0.5491267030790469,456.5068227291107,0.3157947540283203,0.5162457225991631,0.5534662379421221,0.5220562798112904,0.5534662379421221
RF,0.5591501110377528,0.4768288404472719,0.5079440157996586,0.5591501110377528,133.0761842250824,0.5601026535034179,0.49512426169999424,0.5739163987138264,0.5327069270034478,0.5739163987138264
Adaboost,0.5726547025988836,0.5172041308520976,0.5448068006976591,0.5726547025988836,252.12027683258057,0.5963260173797608,0.5202528265983037,0.5753054662379421,0.5440732900051919,0.5753054662379421
GradientBoostingClassifier,0.5801572534661785,0.4848091812227026,0.5545721304331237,0.5801572534661785,1260.8367414951324,0.09242935180664062,0.49530179131869706,0.5879871382636657,0.5637597279092927,0.5879871382636657
NuSVC,0.5289598463477583,0.5177124340653936,0.514928126835619,0.5289598463477583,3505.5922937870027,184.36083283424378,0.5261904035998228,0.5372604501607716,0.5231070479059946,0.5372604501607716
LinearSVC,0.564191825220575,0.486211085587996,0.5210734401557358,0.564191825220575,81.59072246551514,0.021413612365722656,0.36151204093679523,0.4654147909967845,0.5077335143135373,0.4654147909967845
SGDClassifier,0.5695936618450274,0.47695027332438433,0.5259506808711916,0.5695936618450274,21.042651224136353,0.021215438842773438,0.36205813489219957,0.4474855305466239,0.5209424273579377,0.4474855305466239
